Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
8.142122583,1.097368011,12.14394653,0.7306306458,12.21529677
8.152098583,1.909728699,12.41173965,1.335373077,12.62860112
8.162073583,2.99542099,12.62100449,1.676663361,13.07950692
8.172049583,4.063300323,12.42161911,2.111509094,13.23878777
8.182025583,4.463567963,11.52842651,2.233206024,12.56245462
8.192001583,3.554807739,10.15383499,1.676513672,10.88796221
8.201977583,1.337019653,8.943451996,0.896635437,9.087183847
8.211953583,-0.06586303711,8.503965912,0.01856140137,8.504241218
8.221929583,-0.6143225098,8.219557343,-1.084794159,8.313560815
8.231904583,-0.9785151672,7.72139328,-1.544937286,7.935000777
8.241880583,-1.180744629,7.248975677,-1.443148956,7.484950578
8.251856583,-1.280736694,6.861880646,-1.212778015,7.084950458
8.261832583,-1.276695099,6.672674103,-0.6965016174,6.829322409
8.271808583,-1.171613617,6.545887756,0.04296066284,6.650050421
8.281784583,-0.9225315857,6.570436707,0.9024732971,6.695980966
8.291760583,-0.7445516968,6.53615799,1.182540894,6.683870245
8.301736583,-0.6454577637,6.513405304,1.276844788,6.668687801
8.311712583,-0.6170169067,6.550079041,1.174457703,6.683082836
8.321687583,-0.4953199768,6.599476318,1.124910736,6.712961621
8.331663583,-0.3586541748,6.762637024,1.230291595,6.882986978
8.341639583,-0.173638916,6.900650024,1.274000702,7.01941586
8.351615583,0.4709207153,7.116950226,1.172661438,7.228269619
8.361591583,1.045276337,7.29313385,1.242566071,7.47170492
8.371567583,1.25903183,7.332352295,1.554517365,7.600333911
8.381543583,1.334924011,7.517966309,1.774410095,7.839028685
8.391519583,1.410516815,7.921976166,1.95987442,8.281809694
8.401494583,1.458566895,8.273594971,2.37765564,8.731153272
8.411470583,1.456022186,8.67386261,2.963237915,9.280984437
8.421446583,1.098864899,9.020391998,3.720812531,9.819339171
8.431422583,0.4117936707,9.443562012,4.500840454,10.46938405
8.441398583,-0.2656974792,9.958341522,5.166356506,11.22187153
8.451374583,-0.7502398682,10.52880524,5.731880493,12.01137184
8.461350583,-1.187330933,11.06768463,6.239025879,12.7604405
8.471326583,-1.623972931,11.67033142,6.672674103,13.54099344
8.481301583,-2.037712555,12.08571762,6.744075623,13.98926013
8.491277583,-2.455942841,11.99515594,6.584806824,13.90234161
8.501253583,-2.86668869,11.52034332,6.171216888,13.37984051
8.511229583,-3.203188934,10.62774948,5.322930908,12.31028317
8.521205583,-3.375181274,9.610315247,4.309089203,11.05975848
